district,mandal,revenue_division
"Kurnool district","Krishnagiri mandal","Nandyal revenue division"
"Kurnool district","Kurnool mandal","Kurnool revenue division"
"Kurnool district","Maddikera mandal","Nandyal revenue division"
"Kurnool district","Mantralayam mandal","Adoni revenue division"
"Kurnool district","Miduthur mandal","Kurnool revenue division"
"Kurnool district","Nandavaram mandal","Kurnool revenue division"
"Kurnool district","Nandikotkur mandal","Kurnool revenue division"
"Kurnool district","Orvakal mandal","Nandyal revenue division"
"Kurnool district","Owk mandal","Nandyal revenue division"
"Kurnool district","Pagidyala mandal","Kurnool revenue division"
"Kurnool district","Pamulapadu mandal","Nandyal revenue division"
"Kurnool district","Panyam mandal","Nandyal revenue division"
"Kurnool district","Pattikonda mandal","Adoni revenue division"
"Kurnool district","Peapally mandal","Kurnool revenue division"
"Kurnool district","Pedda Kadubur mandal","Kurnool revenue division"
"Kurnool district","Rudravaram mandal","Nandyal revenue division"
"Kurnool district","Sanjamala mandal","Nandyal revenue division"
"Kurnool district","Sirvel mandal","Nandyal revenue division"
"Kurnool district","Tuggali mandal","Nandyal revenue division"
"Kurnool district","Uyyalawada mandal","Nandyal revenue division"
"Kurnool district","Veldurthi mandal","Nandyal revenue division"
"Kurnool district","Velgode mandal","Nandyal revenue division"
"Kurnool district","Yemmiganur mandal","Adoni revenue division"
"Nandyal district","Allagadda mandal","Allagadda revenue division"
"Nandyal district","Banaganapalle mandal","Nandyal revenue division"
"Nandyal district","Bethamcherla mandal","Nandyal revenue division"
"Nandyal district","Chagalamarri mandal","Nandyal revenue division"
"Nandyal district","Dhone mandal","Nandyal revenue division"
"Nandyal district","Gadivemula mandal","Nandyal revenue division"
"Nandyal district","Gonegandla mandal","Nandyal revenue division"
"Nandyal district","Kallur mandal","Nandyal revenue division"
"Nandyal district","Koilkuntla mandal","Nandyal revenue division"
"Nandyal district","Kolimigundla mandal","Nandyal revenue division"
"Nandyal district","Krishnagiri mandal","Nandyal revenue division"
"Nandyal district","Maddikera mandal","Nandyal revenue division"
"Nandyal district","Nandyal mandal","Nandyal revenue division"
"Nandyal district","Orvakal mandal","Nandyal revenue division"
"Nandyal district","Owk mandal","Nandyal revenue division"
"Nandyal district","Pamulapadu mandal","Nandyal revenue division"
"Nandyal district","Panyam mandal","Nandyal revenue division"
"Nandyal district","Rudravaram mandal","Nandyal revenue division"
"Nandyal district","Sanjamala mandal","Nandyal revenue division"
"Nandyal district","Sirvel mandal","Nandyal revenue division"
"Nandyal district","Tuggali mandal","Nandyal revenue division"
"Nandyal district","Uyyalawada mandal","Nandyal revenue division"
"Nandyal district","Veldurthi mandal","Nandyal revenue division"
"NTR district","A.Konduru mandal","Vijayawada revenue division"
"NTR district","Agiripalle mandal","Vijayawada revenue division"
"NTR district","Bapulapadu mandal","Vijayawada revenue division"
"NTR district","Chandarlapadu mandal","Vijayawada revenue division"
"NTR district","G.Konduru mandal","Vijayawada revenue division"
"NTR district","Gampalagudem mandal","Vijayawada revenue division"
"NTR district","Gannavaram mandal","Vijayawada revenue division"
"NTR district","Gudivada mandal","Gudivada revenue division"
"NTR district","Gudlavalleru mandal","Gudivada revenue division"
"NTR district","Guduru mandal","Gudivada revenue division"
"NTR district","Ibrahimpatnam mandal","Vijayawada revenue division"
"NTR district","Jaggayyapeta mandal","Vijayawada revenue division"
"NTR district","Kanchikacherla mandal","Vijayawada revenue division"
"NTR district","Kankipadu mandal","Vijayawada revenue division"
"NTR district","Koduru mandal","Vijayawada revenue division"
"NTR district","Machilipatnam mandal","Machilipatnam revenue division"
"NTR district","Mopidevi mandal","Machilipatnam revenue division"
